AB -ve,A1B -ve
AB -ve,A2B -ve
AB +ve,A1B +ve
AB +ve,A2B +ve
A -ve,A1 -ve
A -ve,A2 -ve
A +ve,A1 +ve
A +ve,A2 +ve
